id,nama,email,no_hp,tanggal_daftar,status
708,Reza Wibowo,reza77@hotmail.com,08113037637,05-03-2019,Aktif
709,Eko Firmansyah,eko321@outlook.com,08522812356,28 Jan 2023,Nonaktif
710,rudi wibowo,rudi434@yahoo.com,08229127113,2018-09-03,Aktif
711,Siti Permana,siti464@outlook.com,08221815632,14 Jun 2022,nonaktif
712,Bagas Rahayu,bagas379@gmail.com,08116634362,30-08-2024,Nonaktif
713,Bambang Firmansyah,bambang698@gmail.com,08211310094,2020-09-04,Nonaktif
714,Fauzi Hidayat,fauzi717@hotmail.com,08516134732,13-04-2020,non-aktif
715,Febri Purnomo,febri97@yahoo.com,08539743251,2019-11-14,aktiff
716,Doni Pratama,doni683@hotmail.com,08515024120,30-08-2024,SUSPEND
717,Eko Santoso,eko254@hotmail.com,08120094388,2019-11-17,Pending
718,Andi Purnomo,andi344@hotmail.com,08525847457,25-02-2018,AKTIF
719,Bagas Firmansyah,bagas878@ymail.com,08521480263,04-08-2019,Nonaktif
720,Reza Ramadhan,reza997@hotmail.com,08233136148,15 Jan 2023,Aktif
721,Putri Setiawan,putri428@outlook.com,08223098591,2022-11-11,Nonaktif
722,PUTRI PURNOMO,putri9@hotmail.com,08137284982,2021-28-05,AKTIF
723,Lestari Santoso,lestari223@outlook.com,08581074065,2018-01-03,Aktif
724,Putri Purnomo,putri515@ymail.com,08131423691,2021-04-06,aktif
725,Putri Hidayat,putri653@hotmail.com,08516144942,2024-28-04,pending
726,INDAH RAMADHAN,indah787@yahoo.com,08222683441,02 May 2021,Suspend
727,DOnI HAkim,doni985@hotmail.com,08520806129,2021-05-23,NON AKTIF
728,Fajar Pratama,fajar922@ymail.com,08220626078,2023-03-01,aktif
729,Fauzi Kusuma,fauzi100@outlook.com,08587501980,19 Apr 2020,aktif
730,Bambang Pratama,bambang692@yahoo.com,08224079311,2018-01-01,NON AKTIF
731,SRI FIRMANSYAH,sri210@gmail.com,08520876014,2022-16-07,suspand
732,Reza Hakim,reza628@hotmail.com,08581620223,01 Dec 2019,pending
733,Wulan Wibowo,wulan297@outlook.com,08129754661,2023-16-03,PENDING
734,Rina Santoso,rina124@ymail.com,08510940970,2021-12-23,nonaktif
735,doni susanto,andi126@outlook.com,08538358681,2019/12/16,aktif
736,Nisa Setiawan,nisa880@yahoo.com,08224617679,09 Jan 2020,pending
737,Ratna Firmansyah,ratna715@outlook.com,08589599610,2018/05/01,aktif
738,Andi Kusuma,andi696@hotmail.com,08233312661,11 Sep 2018,Aktif
739,Ahmad Wijaya,ahmad384@ymail.com,08112517629,2024-03-29,Aktif
740,Bambang Laksono,bambang231@yahoo.com,08136831901,2020-04-13,PENDING
741,Budi Nugroho,indah916@gmail.com,08125287339,25 Apr 2023,aktiff
742,Galih Hakim,lestari284@gmail.com,08526619128,2021-05-06,aktif
743,Yuni Rahayu,yuni339@gmail.com,08214465124,03 Nov 2018,Nonaktif
744,Hendro Iskandar,hendro409@ymail.com,08118197400,2021-16-10,Aktif
745,BAGAS RAHAYU,bagas561@outlook.com,08113719905,2018-17-10,NON AKTIF
746,Galih Wijaya,galih491@yahoo.com,08220107835,2022-03-11,AKTIF
747,Yuni Santoso,yuni27@yahoo.com,08539608706,2022/03/26,aktif
748,TEGUH HAKIM,teguh449@gmail.com,08585535603,2020-08-08,NON AKTIF
749,Yuni Saputra,yuni910@ymail.com,08580030102,2022-12-02,AKTIF
750,Indah Nugroho,indah912@yahoo.com,08222967111,21 Oct 2020,Aktif
751,Putri Hidayat,putri310@outlook.com,08534384588,2019-03-04,aktiff
752,Sari Iskandar,sari81@yahoo.com,08138348315,2019-08-05,SUSPEND
753,Maya Laksono,maya22@hotmail.com,08114496410,17 Feb 2021,nonaktif
754,Siti Hartono,siti46@yahoo.com,08216268040,28-01-2024,Suspend
755,Febri Setiawan,febri930@outlook.com,08583059660,24 Mar 2019,nonaktif
756,Lestari Hakim,lestari587@ymail.com,08534267320,2021/02/23,Suspend
757,Nur Hidayat,nur303@outlook.com,08586094544,2024-10-26,aktif
758,Nisa Setiawan,nisa868@yahoo.com,08527070705,2023/05/21,panding
759,hendra saputra,hendra962@gmail.com,08229851724,05-02-2021,suspend
760,Muhammad Hidayat,muhammad151@ymail.com,08113102879,2021-07-23,Nonaktif
761,Yuni Rahayu,yuni266@outlook.com,08115809351,14 Nov 2018,nonaktif
762,Ratna Wijaya,ratna334@ymail.com,08236164205,22-10-2024,aktiff
763,Sari Nugroho,sari997@outlook.com,08580250429,2018-04-15,non-aktif
764,Indah Firmansyah,indah760@ymail.com,08585369026,2018-11-18,SUSPEND
765,Yuni Ramadhan,yuni589@ymail.com,08518180978,2023-02-11,AKTIF
766,Fitri Ramadhan,fitri250@outlook.com,08215375137,07-08-2022,aktif
767,SURYA FIRMANSYAH,surya371@hotmail.com,08583763928,2020-30-09,pending
768,Muhammad Iskandar,muhammad294@outlook.com,08231166829,2023/07/18,suspend
769,Fitri Sari,fitri16@yahoo.com,08126487120,2022-11-03,pending
770,Rizki Pratama,rizki543@hotmail.com,08515268341,11-10-2021,NON AKTIF
771,Galih Kusuma,galih47@gmail.com,08237676472,2020/01/22,Pending
772,rATna WiJaya,ratna531@ymail.com,08588645652,2019-08-10,PENDING
773,Hendra Saputra,hendra589@ymail.com,08231542144,2023-17-06,Aktif
774,Dian Purnomo,dian266@ymail.com,08123421388,2019-11-23,NON AKTIF
775,Ahmad Hakim,ahmad200@gmail.com,08520534967,2023-11-04,PENDING
776,Lestari Kusuma,lestari942@gmail.com,08526741241,2021-12-19,pending
777,Yuni Wijaya,yuni520@outlook.com,08227815061,06-11-2023,Aktif
778,Surya Rahayu,surya643@gmail.com,08212963347,2019-13-09,PENDING
779,BAMBANG PURNOMO,bambang651@gmail.com,08533061789,2020/05/04,Aktif
780,Sari Susanto,sari647@ymail.com,08215782434,2023-10-06,Pending
781,Rudi Iskandar,rudi493@outlook.com,08123146753,2022-10-07,Aktif
782,Indah Kusuma,indah408@yahoo.com,08527963044,2023-09-10,suspend
783,Sari Rahayu,sari331@outlook.com,08236676640,2021-04-01,pending
784,Bagas Rahayu,bagas420@yahoo.com,08582831995,14 Jun 2019,Nonaktif
785,SITI HARTONO,siti722@outlook.com,08238108358,2020-03-23,panding
786,Rudi Hidayat,rudi166@outlook.com,08236383000,2023-11-27,Nonaktif
787,baMbanG rAhayU,bambang781@hotmail.com,08110892196,06 Mar 2020,suspend
788,Indah Saputra,indah24@outlook.com,08227314976,2021-07-04,aktif
789,Sari Hakim,sari292@ymail.com,08533607658,2019-20-03,Aktif
790,Siti Hartono,siti458@outlook.com,08529145211,2024-04-16,Aktif
791,Bambang Ramadhan,bambang145@hotmail.com,08587893074,14-08-2022,pending
792,Rina Rahayu,rina579@ymail.com,08510438787,2021/07/06,Aktif
793,Doni Permana,doni880@gmail.com,08126162028,2019-05-13,Aktif
794,Sri Rahayu,sri508@yahoo.com,08537286604,2019-27-04,suspand
795,Fauzi Firmansyah,fauzi911@outlook.com,08582248395,29 Oct 2023,Aktif
796,Doni Wibowo,doni950@yahoo.com,08138705622,2023-04-12,suspand
797,Budi Purnomo,budi205@gmail.com,08537510979,2019-10-03,aktiff
798,Surya Hidayat,surya15@yahoo.com,08224694596,09 Nov 2020,Nonaktif
799,Fitri Wijaya,fitri106@yahoo.com,08222491289,18-04-2022,Nonaktif
800,Eko Iskandar,eko827@ymail.com,08523203319,2019-08-24,Aktif
801,BUDI SETIAWAN,budi994@gmail.com,08138767548,2019-04-26,Nonaktif
802,Ayu Hartono,ayu364@outlook.com,08535819324,2019-09-08,Nonaktif
803,Bambang Susanto,bambang572@hotmail.com,08232057563,02 Dec 2024,suspend
804,Fitri Hartono,fitri956@gmail.com,08217583094,2021-09-07,suspend
805,Mega Firmansyah,mega622@outlook.com,08114760440,2024-06-01,suspend
806,Citra Iskandar,citra503@yahoo.com,08528105092,2019-12-26,aktif
807,Sri Rahayu,sri728@gmail.com,08231843905,2021/07/20,Aktif
808,Eko Nugroho,eko964@hotmail.com,08510138241,2019-08-12,aktif
809,Febri Wibowo,mega947@outlook.com,08114485157,2024/05/16,aktif
810,DONI WIJAYA,doni93@yahoo.com,08122590203,2022-15-03,aktif
811,Reza Purnomo,reza658@yahoo.com,08134064242,03-05-2024,nonaktif
812,Fitri Susanto,fitri182@outlook.com,08227417595,2021/11/29,Nonaktif
813,Dian Rahayu,dian600@hotmail.com,08138936543,2021/11/02,SUSPEND
814,SURYA SUSANTO,surya792@yahoo.com,08223740182,2023-05-01,nonaktif
815,Indah Nugroho,indah675@ymail.com,08115150267,02-10-2021,nonaktiff
816,Andi Sari,andi314@yahoo.com,08528207979,2024/06/17,nonaktif
817,Rudi Permana,rudi259@outlook.com,08585764038,2019-18-03,nonaktif
818,Fauzi Ramadhan,bambang994@outlook.com,08532498392,2019/06/17,aktiff
819,Dewi Wijaya,dewi785@yahoo.com,08237627023,06-12-2019,AKTIF
820,Agus Hidayat,agus448@gmail.com,08212850725,2019-14-02,Nonaktif
821,Rudi Wibowo,rudi685@hotmail.com,08523162526,01-09-2021,PENDING
822,Teguh Iskandar,teguh74@outlook.com,08529039235,23-01-2022,Nonaktif
823,Budi Iskandar,budi408@gmail.com,08212730346,16-01-2019,nonaktif
824,aGus saPuTrA,agus672@hotmail.com,08112529867,2018-17-02,nonaktiff
825,Rudi Saputra,rudi311@hotmail.com,08221978575,01-01-2024,aktif
826,Agus Saputra,agus393@gmail.com,08130594389,2023-07-02,aktif
827,LESTARI RAHAYU,lestari502@hotmail.com,08230954654,07 Apr 2018,Aktif
828,Lestari Nugroho,lestari458@outlook.com,08220915086,2020-10-15,aktif
829,Andi Pratama,andi649@hotmail.com,08514579389,2023-02-21,aktif
830,FAJaR RAhaYu,agus172@ymail.com,08511394498,2024-01-18,pending
831,Dewi Nugroho,dewi221@hotmail.com,08222480962,13-03-2021,aktif
832,Hendra Santoso,hendra786@outlook.com,08224795133,2018/03/16,AKTIF
833,Rizki Iskandar,rudi961@gmail.com,08529695867,2024-04-03,aktiff
834,Indah Nugroho,indah156@hotmail.com,08523826460,2024-05-29,non-aktif
835,SURYA NUGROHO,surya766@ymail.com,08234457702,2024-07-23,non-aktif
836,Nisa Saputra,nisa784@gmail.com,08228736826,2024-10-22,aktif
837,Hendra Wibowo,hendra585@outlook.com,08132686536,20-09-2024,AKTIF
838,Fajar Kusuma,fajar704@outlook.com,08538863677,2021-18-03,aktif
839,Agus Hartono,agus546@outlook.com,08522169666,2020/02/13,aktif
840,Yuni Pratama,yuni516@gmail.com,08589605932,2024/05/20,nonaktif
841,nur nugroho,nur616@hotmail.com,08538327532,2023/04/19,Suspend
842,Indah Pratama,indah916@gmail.com,08219773973,2019-26-12,Nonaktif
843,Sri Iskandar,sri894@yahoo.com,08217100687,2022-04-28,Pending
844,MEGA HAKIM,mega796@ymail.com,08530770460,2022-28-01,pending
845,Ratna Laksono,ratna128@gmail.com,08134912565,2019-08-05,Pending
846,HENDRA SUSANTO,hendra658@gmail.com,08527345475,2023/01/19,Aktif
847,fauzi iskandar,fauzi144@yahoo.com,08534035954,2021/06/10,aktif
848,Wahyu Permana,wahyu690@outlook.com,08132294643,2018-04-25,NON AKTIF
849,rina ramadhan,rina373@ymail.com,08536792529,15-08-2023,Nonaktif
850,Ayu Permana,ayu892@ymail.com,08522760153,2021-06-20,Aktif
851,Fauzi Iskandar,maya70@hotmail.com,08215779083,09-04-2020,pending
852,Rudi Kusuma,rudi520@gmail.com,08228881079,2023-11-12,Aktif
853,Agus Hidayat,agus735@hotmail.com,08130948413,2018-09-18,Nonaktif
854,Dewi Wibowo,dewi600@ymail.com,08527180513,2023-05-14,nonaktif
855,CITRA WIBOWO,citra604@yahoo.com,08587490961,2022/12/19,Aktif
856,Galih Laksono,galih258@hotmail.com,08584725878,2021/03/08,AKTIF
857,Wulan Hidayat,wulan695@ymail.com,08534712705,2023-19-09,Nonaktif
858,Agus Wijaya,agus690@outlook.com,08127582313,23-05-2020,Nonaktif
859,Indah Firmansyah,indah702@outlook.com,08583925236,2019-12-05,non-aktif
860,Dian Setiawan,dian486@ymail.com,08514347452,08-06-2021,pending
861,Indah Laksono,indah577@hotmail.com,08510606527,2021-01-28,PENDING
862,Fitri Wibowo,fitri263@outlook.com,08230566588,2020-03-27,non-aktif
863,MAYA SUSANTO,maya249@yahoo.com,08237970673,21 Feb 2021,NON AKTIF
864,dewi kusuma,dewi351@outlook.com,08535741721,2021/08/22,nonaktif
865,Rina Pratama,rina588@yahoo.com,08531735984,30 Mar 2024,PENDING
866,Siti Pratama,siti70@outlook.com,08237325737,23-01-2022,Aktif
867,Mega Susanto,mega956@gmail.com,08131666708,04 Sep 2018,aktip
868,Nisa Saputra,nisa983@ymail.com,08238749511,2024-05-04,SUSPEND
869,SRI HakIM,sri477@hotmail.com,08135129578,2022-11-07,nonaktif
870,Lestari Santoso,lestari400@gmail.com,08113562439,30 Aug 2021,nonaktif
871,Fitri Ramadhan,fitri915@ymail.com,08133234210,25 Dec 2023,Suspend
872,Ahmad Pratama,ahmad978@gmail.com,08235333426,2021-01-15,Suspend
873,hendra nugroho,hendra899@hotmail.com,08126073607,2022-02-12,Aktif
874,Ayu Ramadhan,ayu96@yahoo.com,08539812317,13-10-2024,pending
875,INdah sApUtRA,indah445@outlook.com,08211670450,2019-07-31,Aktif
876,Budi Pratama,budi144@hotmail.com,08110934596,2019-08-10,Aktif
877,Hendro Pratama,hendro830@yahoo.com,08231207346,09-03-2022,non-aktif
878,Siti Santoso,siti911@hotmail.com,08112608698,2019-11-27,aktif
879,PUTRI HIDAYAT,putri68@gmail.com,08527687290,2021-29-06,nonaktif
880,Mega Pratama,mega553@outlook.com,08581779323,2023-10-10,PENDING
881,Rina Hidayat,rina762@gmail.com,08514913342,18-05-2021,pending
882,Doni Ramadhan,doni592@outlook.com,08135652906,2018-07-16,suspand
883,Budi Pratama,budi856@yahoo.com,08136509775,2020/02/09,suspend
884,Nisa Hartono,nisa220@hotmail.com,08584871485,2021-10-13,Aktif
885,Bambang Hakim,bambang99@outlook.com,08534156082,2019-01-23,SUSPEND
886,Sri Kusuma,sri303@yahoo.com,08234768182,17 Jun 2022,Aktif
887,YUNI sANTOso,yuni697@yahoo.com,08583289634,2018-20-07,AKTIF
888,Hendro Saputra,hendro480@outlook.com,08134014843,16 Nov 2024,SUSPEND
889,deWI sapUtra,dewi972@outlook.com,08136192372,02-02-2021,aktif
890,Sri Firmansyah,sri106@ymail.com,08523741897,2019-09-22,suspend
891,Bagas Susanto,bagas42@hotmail.com,08221769274,09 Jul 2020,aktif
892,Febri Iskandar,febri248@hotmail.com,08516014448,2021-08-09,pending
893,MEGA NUGROHO,mega104@hotmail.com,08219739641,22 Jun 2023,NON AKTIF
894,Nisa Hartono,nisa892@hotmail.com,08119191911,04-09-2020,NON AKTIF
895,Febri Saputra,febri736@gmail.com,08237798066,2018-04-16,Nonaktif
896,SITI SETIAWAN,siti943@hotmail.com,08117455534,2023-01-01,AKTIF
897,Mega Sari,mega790@ymail.com,08236527155,29 Nov 2024,pending
898,Yuni Setiawan,febri970@gmail.com,08515972634,12-06-2023,aktiff
899,Maya Nugroho,maya983@yahoo.com,08230139488,28 Apr 2021,Nonaktif
900,Rudi Iskandar,rudi204@gmail.com,08129642585,2022-06-14,Suspend
901,Andi Purnomo,andi995@gmail.com,08233703824,2018-18-04,Aktif
902,Yuni Hidayat,yuni451@yahoo.com,08130430977,25 Aug 2022,Nonaktif
903,Nisa Wibowo,nisa869@ymail.com,08586964546,25-02-2022,suspend
904,Reza Setiawan,reza79@yahoo.com,08233892187,02-01-2024,aktif
905,Febri Hidayat,febri735@ymail.com,08217490797,30 Jul 2023,nonaktif
906,Dian Santoso,dian573@gmail.com,08237215149,2020/10/29,aktif
907,Febri Permana,febri783@yahoo.com,08513748453,23 May 2024,Suspend
908,Rina Hakim,rina601@outlook.com,08119059119,18 Sep 2018,nonaktif
909,Dian Wibowo,doni45@yahoo.com,08130715116,2024/06/09,Suspend
910,Ayu Saputra,ayu486@yahoo.com,08232145264,2023-08-09,Aktif
911,Rudi Wibowo,rudi663@gmail.com,08237184090,2024-03-31,pending
912,andi sari,andi542@gmail.com,08115640995,2018-10-12,Aktif
913,gaLIH PERmaNa,galih40@ymail.com,08124415298,2019-11-17,Nonaktif
914,Febri Pratama,febri943@outlook.com,08528671815,05-10-2020,aktif
915,Bambang Wibowo,bambang43@outlook.com,08117918158,25 Apr 2024,pending
916,Hendro Hartono,hendro659@yahoo.com,08225273466,2022-18-11,aktif
917,SITI PERMANA,siti575@hotmail.com,08586474080,2020-02-10,AKTIF
918,Eko Ramadhan,eko657@outlook.com,08118004635,2024-01-12,PENDING
919,Teguh Firmansyah,teguh183@ymail.com,08230317235,2018/10/26,Aktif
920,Hendra Ramadhan,hendra16@gmail.com,08513140352,2022-05-17,aktip
921,RUdI RAhAYU,rudi420@gmail.com,08516643749,2018/02/12,pending
922,AHMAD LAKSONO,ahmad707@yahoo.com,08121127128,2021-09-02,Suspend
923,Mega Hartono,mega294@outlook.com,08584116318,2023-08-02,aktif
924,Ahmad Permana,ahmad115@yahoo.com,08116211369,2022-28-02,pending
925,Maya Iskandar,maya679@ymail.com,08213509025,2020-10-24,aktiff
926,Fitri Rahayu,fitri157@outlook.com,08531323570,2022-12-10,panding
927,Febri Firmansyah,febri165@yahoo.com,08535011688,13 Mar 2018,pending
928,indah nugroho,indah924@gmail.com,08210609069,2019-05-06,Pending
929,Ahmad Ramadhan,ahmad21@hotmail.com,08586496737,14-11-2024,aktiff
930,Doni Permana,doni157@hotmail.com,08535324264,19-10-2019,pending
931,tEGuh pUrnOmo,teguh373@outlook.com,08236283333,2024-05-17,Suspend
932,Galih Nugroho,galih562@hotmail.com,08234362718,27-01-2023,suspend
933,galih saputra,galih223@outlook.com,08532686270,2020-25-04,Nonaktif
934,Agus Susanto,agus697@ymail.com,08136932657,2020/10/03,aktif
935,Bambang Setiawan,bambang782@ymail.com,08530111000,2021-09-19,AKTIF
936,Putri Wibowo,putri981@yahoo.com,08221595977,2021/10/18,Aktif
937,Wahyu Kusuma,wahyu164@yahoo.com,08136189628,2024/03/12,nonaktif
938,Fauzi Hidayat,fauzi680@yahoo.com,08521026767,2019-11-30,NON AKTIF
939,Fajar Laksono,fajar187@hotmail.com,08117955151,2019-12-27,non-aktif
940,RUDI PRATAMA,rudi958@yahoo.com,08234159709,2024-14-08,suspand
941,fAJaR susanTO,fajar470@gmail.com,08238029090,2021-24-05,Aktif
942,Citra Hartono,citra712@outlook.com,08515586652,2021/11/19,Aktif
943,Fitri Permana,fitri86@hotmail.com,08125810213,2018-11-01,aktip
944,Rina Ramadhan,rina798@gmail.com,08120059129,2023/03/03,suspend
945,ANDI ISKANDAR,andi722@yahoo.com,08211211063,2020-05-11,pending
946,Ayu Setiawan,ayu198@hotmail.com,08217927490,2022-12-18,Nonaktif
947,Nur Sari,nur270@yahoo.com,08539311325,2020-07-21,nonaktif
948,Eko Purnomo,eko519@outlook.com,08216453804,2021-02-26,aktif
949,Rizki Permana,rizki751@gmail.com,08586170159,2022/01/20,pending
950,Rizki Ramadhan,rizki860@outlook.com,08525757475,2024/02/15,Aktif
951,eko sari,eko362@hotmail.com,08527567772,2019/08/05,Pending
952,Sari Santoso,sari808@outlook.com,08512650622,2024-08-25,Aktif
953,Siti Hartono,siti278@outlook.com,08210762484,2020-07-21,nonaktif
954,Bambang Saputra,bambang873@yahoo.com,08520511579,2021-03-31,Aktif
955,Bambang Wibowo,bambang651@gmail.com,08135496919,15 Jun 2019,AKTIF
956,Fajar Pratama,fajar994@hotmail.com,08120756335,14-08-2020,non-aktif
957,Citra Susanto,galih40@ymail.com,08212593993,2020-17-10,Nonaktif
958,Siti Setiawan,siti98@hotmail.com,08139518779,2020-12-25,nonaktif
959,Fitri Susanto,fitri373@gmail.com,08523305597,2024-04-20,Pending
960,Indah Permana,indah620@ymail.com,08213991403,15 Nov 2023,AKTIF
961,Ayu Saputra,ayu874@gmail.com,08224324006,19-11-2018,nonaktif
962,Rina Laksono,rina569@yahoo.com,08587514743,2024-20-10,AKTIF
963,Eko Pratama,eko18@gmail.com,08115875256,2024-03-03,non-aktif
964,INDaH HARtOno,indah168@yahoo.com,08125551651,2023-11-07,Nonaktif
965,Hendro Saputra,hendro406@yahoo.com,08531372143,2020-09-07,nonaktiff
966,surya santoso,surya864@yahoo.com,08520033228,01-08-2021,nonaktif
967,Rudi Santoso,rudi297@hotmail.com,08116810390,2020-05-05,NON AKTIF
968,Budi Nugroho,budi596@outlook.com,08532632809,26-02-2021,Nonaktif
969,rAtna haRTOno,ratna43@hotmail.com,08123394394,2022-18-01,aktif
970,Yuni Ramadhan,yuni864@outlook.com,08218040325,2020-25-04,Suspend
971,Ayu Setiawan,ayu401@ymail.com,08137789431,2024-11-29,suspend
972,siti iskandar,siti12@outlook.com,08114769210,2022-02-16,nonaktiff
973,TEGUH NUGROHO,teguh428@gmail.com,08220142473,2019/05/08,pending
974,sItI peRmAna,siti387@gmail.com,08117676209,2018/06/30,aktif
975,Fauzi Purnomo,fauzi208@outlook.com,08114337009,19 Nov 2022,Suspend
976,Bambang Hidayat,bambang761@gmail.com,08225195778,03-11-2019,nonaktiff
977,Fajar Hakim,fajar329@outlook.com,08512965754,2019/08/28,Pending
978,Bambang Hakim,bambang985@hotmail.com,08129425577,2024/01/18,Aktif
979,Ahmad Setiawan,ahmad881@yahoo.com,08585829236,2018-01-12,suspend
980,ratna hakim,ratna107@ymail.com,08114823571,2021/08/26,PENDING
981,Fajar Hakim,fajar536@hotmail.com,08219561372,2020/02/11,aktif
982,Ratna Kusuma,ratna938@gmail.com,08223643813,2018-04-07,aktif
983,Sri wibOwo,sri214@outlook.com,08519979907,2018-10-05,AKTIF
984,Siti Susanto,siti882@hotmail.com,08531699570,2022-04-06,SUSPEND
985,Nur Permana,nur95@gmail.com,08211765397,21-05-2018,AKTIF
986,Maya Wibowo,maya98@gmail.com,08139087182,13-03-2023,pending
987,Ayu Hakim,ayu50@outlook.com,08581872742,13-06-2018,NON AKTIF
988,Teguh Kusuma,teguh992@gmail.com,08217730626,29-06-2018,Aktif
989,Bagas Ramadhan,bagas235@hotmail.com,08121222990,2022-30-11,aktip
990,Teguh Santoso,fitri513@gmail.com,08531670468,2022-09-26,aktif
991,Mega Nugroho,mega520@yahoo.com,08131021923,2023/01/02,suspand
992,Fajar Hakim,fajar69@yahoo.com,08586180332,2021-05-15,pending
993,Rudi Santoso,rudi523@gmail.com,08128498042,2021-08-01,suspend
994,Hendra Wibowo,hendra490@hotmail.com,08211268812,05 Jun 2019,aktif
995,Rizki Permana,rizki75@ymail.com,08133653460,2022-11-04,suspend
996,RudI SaNToSO,rudi248@ymail.com,08534716906,29 Sep 2018,aktif
997,Rina Rahayu,rina403@outlook.com,08525489547,2023-26-09,nonaktif
998,Eko Hakim,eko620@ymail.com,08582751758,19 Oct 2023,non-aktif
999,Mega Susanto,mega896@outlook.com,08588355393,28-11-2021,Aktif
1000,Bagas Firmansyah,bagas286@outlook.com,08586392435,02 Feb 2024,AKTIF
